ticker,snapshot_date,pe_vs_peers,ev_ebitda_vs_peers,growth_vs_peers,margin_vs_peers,roic_vs_peers,sector_relative_pe,sector_relative_growth,sector_relative_roic
AAPL,2025-11-28,0.754000,0.734000,-0.380500,-0.210600,0.057900,0.822000,-0.253700,0.038600
MSFT,2025-11-28,0.943000,0.803000,-0.172700,0.025800,-0.255100,0.861000,-0.173200,-0.262000
NVDA,2025-11-28,1.566000,1.841000,0.640400,0.232900,0.335200,1.318000,0.426900,0.223500
META,2025-11-28,0.794000,0.714000,0.059700,0.125300,0.056800,0.852000,0.039800,0.037800
GOOGL,2025-11-28,0.690000,0.755000,-0.026100,-0.056100,-0.015000,0.768000,-0.025500,-0.008100
AMZN,2025-11-28,0.597000,0.435000,0.028100,-0.086600,-0.028500,0.530000,0.046100,0.029600
TSLA,2025-11-28,2.773000,3.675000,-0.092200,-0.034400,-0.059200,1.470000,-0.046100,-0.029600
JPM,2025-11-28,0.421000,0.507000,0.006100,-0.258200,-0.318500,0.593000,0.003000,-0.159200
V,2025-11-28,2.375000,1.973000,-0.006100,0.258200,0.318500,1.407000,-0.003000,0.159300
NFLX,2025-11-28,1.703000,1.737000,-0.021400,-0.102200,-0.044600,1.380000,-0.014200,-0.029800
AAPL,2025-12-05,0.754000,0.734000,-0.389100,-0.206100,0.044800,0.822000,-0.259400,0.029900
MSFT,2025-12-05,0.943000,0.803000,-0.167300,0.024600,-0.247600,0.861000,-0.173000,-0.255800
NVDA,2025-12-05,1.566000,1.841000,0.648600,0.228100,0.338900,1.318000,0.432400,0.225900
META,2025-12-05,0.794000,0.714000,0.070200,0.124100,0.051700,0.852000,0.046800,0.034500
GOOGL,2025-12-05,0.690000,0.755000,-0.039100,-0.054800,-0.014400,0.768000,-0.033500,-0.006200
AMZN,2025-12-05,0.597000,0.435000,0.032500,-0.084100,-0.030900,0.530000,0.045500,0.028700
TSLA,2025-12-05,2.773000,3.675000,-0.091000,-0.035600,-0.057400,1.470000,-0.045500,-0.028700
JPM,2025-12-05,0.421000,0.507000,0.009000,-0.267100,-0.325800,0.593000,0.004500,-0.162900
V,2025-12-05,2.375000,1.973000,-0.009000,0.267100,0.325800,1.407000,-0.004500,0.162900
NFLX,2025-12-05,1.703000,1.737000,-0.020100,-0.100800,-0.042300,1.380000,-0.013400,-0.028200
AAPL,2025-12-12,0.754000,0.734000,-0.386100,-0.213600,0.044100,0.822000,-0.257400,0.029400
MSFT,2025-12-12,0.943000,0.803000,-0.167800,0.029700,-0.260000,0.861000,-0.172500,-0.262300
NVDA,2025-12-12,1.566000,1.841000,0.644800,0.232600,0.349300,1.318000,0.429900,0.232900
META,2025-12-12,0.794000,0.714000,0.069600,0.127100,0.048100,0.852000,0.046400,0.032100
GOOGL,2025-12-12,0.690000,0.755000,-0.040300,-0.057300,-0.005200,0.768000,-0.035500,-0.002900
AMZN,2025-12-12,0.597000,0.435000,0.033200,-0.085100,-0.031100,0.530000,0.046100,0.030200
TSLA,2025-12-12,2.773000,3.675000,-0.092300,-0.036600,-0.060400,1.470000,-0.046200,-0.030200
JPM,2025-12-12,0.421000,0.507000,0.002900,-0.259900,-0.318400,0.593000,0.001500,-0.159200
V,2025-12-12,2.375000,1.973000,-0.002900,0.259900,0.318400,1.407000,-0.001400,0.159200
NFLX,2025-12-12,1.703000,1.737000,-0.016300,-0.104700,-0.043700,1.380000,-0.010800,-0.029100
AAPL,2025-12-19,0.754000,0.734000,-0.376300,-0.217000,0.054300,0.822000,-0.250900,0.036200
MSFT,2025-12-19,0.943000,0.803000,-0.157500,0.024100,-0.248700,0.861000,-0.162900,-0.255000
NVDA,2025-12-19,1.566000,1.841000,0.620700,0.242800,0.328200,1.318000,0.413800,0.218800
META,2025-12-19,0.794000,0.714000,0.065300,0.127600,0.049800,0.852000,0.043500,0.033200
GOOGL,2025-12-19,0.690000,0.755000,-0.031100,-0.057700,-0.012100,0.768000,-0.025800,-0.005900
AMZN,2025-12-19,0.597000,0.435000,0.033600,-0.087000,-0.030800,0.530000,0.047200,0.028300
TSLA,2025-12-19,2.773000,3.675000,-0.094400,-0.034100,-0.056700,1.470000,-0.047200,-0.028300
JPM,2025-12-19,0.421000,0.507000,0.002600,-0.270600,-0.323300,0.593000,0.001300,-0.161600
V,2025-12-19,2.375000,1.973000,-0.002600,0.270600,0.323300,1.407000,-0.001300,0.161700
NFLX,2025-12-19,1.703000,1.737000,-0.026600,-0.103000,-0.041000,1.380000,-0.017800,-0.027400
AAPL,2025-12-26,0.754000,0.734000,-0.370300,-0.211800,0.049100,0.822000,-0.246900,0.032700
MSFT,2025-12-26,0.943000,0.803000,-0.162500,0.028500,-0.256100,0.861000,-0.166300,-0.262600
NVDA,2025-12-26,1.566000,1.841000,0.619700,0.231000,0.344700,1.318000,0.413100,0.229800
META,2025-12-26,0.794000,0.714000,0.051700,0.123200,0.044200,0.852000,0.034500,0.029400
GOOGL,2025-12-26,0.690000,0.755000,-0.034500,-0.057000,-0.011100,0.768000,-0.030700,-0.004700
AMZN,2025-12-26,0.597000,0.435000,0.027200,-0.087400,-0.031400,0.530000,0.043600,0.028400
TSLA,2025-12-26,2.773000,3.675000,-0.087100,-0.032700,-0.056800,1.470000,-0.043500,-0.028400
JPM,2025-12-26,0.421000,0.507000,0.002300,-0.281200,-0.332600,0.593000,0.001100,-0.166300
V,2025-12-26,2.375000,1.973000,-0.002300,0.281200,0.332600,1.407000,-0.001200,0.166300
NFLX,2025-12-26,1.703000,1.737000,-0.005600,-0.099700,-0.037100,1.380000,-0.003700,-0.024800
AAPL,2026-01-02,0.754000,0.734000,-0.369400,-0.216800,0.052600,0.822000,-0.246300,0.035100
MSFT,2026-01-02,0.943000,0.803000,-0.155100,0.030200,-0.259800,0.861000,-0.159000,-0.262200
NVDA,2026-01-02,1.566000,1.841000,0.608000,0.236000,0.340800,1.318000,0.405300,0.227200
META,2026-01-02,0.794000,0.714000,0.067800,0.127400,0.037200,0.852000,0.045200,0.024800
GOOGL,2026-01-02,0.690000,0.755000,-0.033100,-0.058700,-0.004200,0.768000,-0.029200,-0.001700
AMZN,2026-01-02,0.597000,0.435000,0.031400,-0.085600,-0.033800,0.530000,0.046500,0.029300
TSLA,2026-01-02,2.773000,3.675000,-0.092900,-0.035700,-0.058500,1.470000,-0.046500,-0.029200
JPM,2026-01-02,0.421000,0.507000,-0.009800,-0.266200,-0.326600,0.593000,-0.004900,-0.163300
V,2026-01-02,2.375000,1.973000,0.009800,0.266200,0.326600,1.407000,0.004900,0.163300
NFLX,2026-01-02,1.703000,1.737000,-0.024000,-0.103700,-0.034600,1.380000,-0.016000,-0.023100
AAPL,2026-01-09,0.754000,0.734000,-0.389700,-0.215800,0.038900,0.822000,-0.259800,0.025900
MSFT,2026-01-09,0.943000,0.803000,-0.174800,0.019500,-0.251800,0.861000,-0.178500,-0.258000
NVDA,2026-01-09,1.566000,1.841000,0.657600,0.242400,0.348000,1.318000,0.438400,0.232000
META,2026-01-09,0.794000,0.714000,0.079500,0.122200,0.044700,0.852000,0.053000,0.029800
GOOGL,2026-01-09,0.690000,0.755000,-0.037400,-0.046800,-0.010600,0.768000,-0.033700,-0.004400
AMZN,2026-01-09,0.597000,0.435000,0.039800,-0.089300,-0.031400,0.530000,0.049200,0.028600
TSLA,2026-01-09,2.773000,3.675000,-0.098300,-0.035200,-0.057300,1.470000,-0.049200,-0.028600
JPM,2026-01-09,0.421000,0.507000,-0.002800,-0.272400,-0.318600,0.593000,-0.001400,-0.159300
V,2026-01-09,2.375000,1.973000,0.002800,0.272400,0.318600,1.407000,0.001400,0.159300
NFLX,2026-01-09,1.703000,1.737000,-0.029000,-0.107900,-0.038100,1.380000,-0.019300,-0.025400
AAPL,2026-01-16,0.754000,0.734000,-0.386400,-0.217800,0.059000,0.822000,-0.257600,0.039300
MSFT,2026-01-16,0.943000,0.803000,-0.165800,0.026800,-0.252900,0.861000,-0.168500,-0.256500
NVDA,2026-01-16,1.566000,1.841000,0.639300,0.238500,0.325700,1.318000,0.426200,0.217100
META,2026-01-16,0.794000,0.714000,0.056900,0.115200,0.042900,0.852000,0.037900,0.028600
GOOGL,2026-01-16,0.690000,0.755000,-0.023700,-0.051100,-0.005200,0.768000,-0.021000,-0.001600
AMZN,2026-01-16,0.597000,0.435000,0.029100,-0.087000,-0.036300,0.530000,0.046700,0.027400
TSLA,2026-01-16,2.773000,3.675000,-0.093400,-0.034300,-0.054700,1.470000,-0.046700,-0.027300
JPM,2026-01-16,0.421000,0.507000,0.004700,-0.273700,-0.325200,0.593000,0.002400,-0.162600
V,2026-01-16,2.375000,1.973000,-0.004700,0.273700,0.325200,1.407000,-0.002300,0.162600
NFLX,2026-01-16,1.703000,1.737000,-0.025400,-0.099400,-0.040500,1.380000,-0.017000,-0.027000
AAPL,2026-01-23,0.754000,0.734000,-0.369400,-0.218000,0.053800,0.822000,-0.246300,0.035900
MSFT,2026-01-23,0.943000,0.803000,-0.152800,0.018700,-0.261300,0.861000,-0.156600,-0.263700
NVDA,2026-01-23,1.566000,1.841000,0.604400,0.247600,0.341700,1.318000,0.402900,0.227800
META,2026-01-23,0.794000,0.714000,0.062300,0.121900,0.050200,0.852000,0.041500,0.033400
GOOGL,2026-01-23,0.690000,0.755000,-0.032600,-0.050800,-0.004700,0.768000,-0.028900,-0.002300
AMZN,2026-01-23,0.597000,0.435000,0.033900,-0.089500,-0.032800,0.530000,0.048400,0.029800
TSLA,2026-01-23,2.773000,3.675000,-0.096800,-0.032300,-0.059500,1.470000,-0.048400,-0.029700
JPM,2026-01-23,0.421000,0.507000,0.001300,-0.273700,-0.317800,0.593000,0.000600,-0.158900
V,2026-01-23,2.375000,1.973000,-0.001300,0.273700,0.317800,1.407000,-0.000700,0.158900
NFLX,2026-01-23,1.703000,1.737000,-0.019000,-0.103300,-0.046700,1.380000,-0.012700,-0.031200
AAPL,2026-01-30,0.754000,0.734000,-0.387200,-0.211200,0.044000,0.822000,-0.258100,0.029300
MSFT,2026-01-30,0.943000,0.803000,-0.175700,0.022300,-0.258500,0.861000,-0.175700,-0.261100
NVDA,2026-01-30,1.566000,1.841000,0.650800,0.235100,0.347600,1.318000,0.433900,0.231700
META,2026-01-30,0.794000,0.714000,0.059600,0.121900,0.048300,0.852000,0.039800,0.032200
GOOGL,2026-01-30,0.690000,0.755000,-0.025400,-0.050200,-0.002800,0.768000,-0.025400,-0.000200
AMZN,2026-01-30,0.597000,0.435000,0.026100,-0.088700,-0.034400,0.530000,0.045500,0.028500
TSLA,2026-01-30,2.773000,3.675000,-0.091000,-0.034100,-0.057100,1.470000,-0.045500,-0.028600
JPM,2026-01-30,0.421000,0.507000,-0.004000,-0.274600,-0.326500,0.593000,-0.002000,-0.163200
V,2026-01-30,2.375000,1.973000,0.004000,0.274600,0.326500,1.407000,0.002000,0.163300
NFLX,2026-01-30,1.703000,1.737000,-0.021500,-0.103800,-0.047900,1.380000,-0.014300,-0.031900
AAPL,2026-02-06,0.754000,0.734000,-0.377400,-0.211200,0.045000,0.822000,-0.251600,0.030000
MSFT,2026-02-06,0.943000,0.803000,-0.172100,0.026500,-0.259700,0.861000,-0.170200,-0.263100
NVDA,2026-02-06,1.566000,1.841000,0.632800,0.228400,0.349700,1.318000,0.421900,0.233100
META,2026-02-06,0.794000,0.714000,0.052800,0.120800,0.045600,0.852000,0.035200,0.030400
