cycle_id,label,year,week_number,opens_at,deadline_at,locked_at,status
2025-W48,2025 · Week 48,2025,48,2025-11-21T09:00:00.000Z,2025-11-24T08:00:00.000Z,2025-11-24T08:05:00.000Z,locked
2025-W49,2025 · Week 49,2025,49,2025-11-28T09:00:00.000Z,2025-12-01T08:00:00.000Z,2025-12-01T08:05:00.000Z,locked
2025-W50,2025 · Week 50,2025,50,2025-12-05T09:00:00.000Z,2025-12-08T08:00:00.000Z,2025-12-08T08:05:00.000Z,locked
2025-W51,2025 · Week 51,2025,51,2025-12-12T09:00:00.000Z,2025-12-15T08:00:00.000Z,2025-12-15T08:05:00.000Z,locked
2025-W52,2025 · Week 52,2025,52,2025-12-19T09:00:00.000Z,2025-12-22T08:00:00.000Z,2025-12-22T08:05:00.000Z,locked
2026-W01,2026 · Week 01,2026,1,2025-12-26T09:00:00.000Z,2025-12-29T08:00:00.000Z,2025-12-29T08:05:00.000Z,locked
2026-W02,2026 · Week 02,2026,2,2026-01-02T09:00:00.000Z,2026-01-05T08:00:00.000Z,2026-01-05T08:05:00.000Z,locked
2026-W03,2026 · Week 03,2026,3,2026-01-09T09:00:00.000Z,2026-01-12T08:00:00.000Z,2026-01-12T08:05:00.000Z,locked
2026-W04,2026 · Week 04,2026,4,2026-01-16T09:00:00.000Z,2026-01-19T08:00:00.000Z,2026-01-19T08:05:00.000Z,locked
2026-W05,2026 · Week 05,2026,5,2026-01-23T09:00:00.000Z,2026-01-26T08:00:00.000Z,2026-01-26T08:05:00.000Z,locked
2026-W06,2026 · Week 06,2026,6,2026-01-30T09:00:00.000Z,2026-02-02T08:00:00.000Z,2026-02-02T08:05:00.000Z,locked
2026-W07,2026 · Week 07,2026,7,2026-02-06T09:00:00.000Z,2026-02-09T08:00:00.000Z,2026-02-09T08:05:00.000Z,locked
2026-W08,2026 · Week 08,2026,8,2026-02-13T09:00:00.000Z,2026-02-16T08:00:00.000Z,2026-02-16T08:05:00.000Z,locked
2026-W09,2026 · Week 09,2026,9,2026-02-20T09:00:00.000Z,2026-02-23T08:00:00.000Z,2026-02-23T08:05:00.000Z,locked
2026-W10,2026 · Week 10,2026,10,2026-02-27T09:00:00.000Z,2026-03-02T08:00:00.000Z,2026-03-02T08:05:00.000Z,locked
2026-W11,2026 · Week 11,2026,11,2026-03-06T09:00:00.000Z,2026-03-09T08:00:00.000Z,2026-03-09T08:05:00.000Z,locked
2026-W12,2026 · Week 12,2026,12,2026-03-13T09:00:00.000Z,2026-03-16T08:00:00.000Z,2026-03-16T08:05:00.000Z,locked
2026-W13,2026 · Week 13,2026,13,2026-03-20T09:00:00.000Z,2026-03-23T08:00:00.000Z,2026-03-23T08:05:00.000Z,locked
2026-W14,2026 · Week 14,2026,14,2026-03-27T09:00:00.000Z,2026-03-30T08:00:00.000Z,2026-03-30T08:05:00.000Z,locked
2026-W15,2026 · Week 15,2026,15,2026-04-03T09:00:00.000Z,2026-04-06T08:00:00.000Z,2026-04-06T08:05:00.000Z,locked
2026-W16,2026 · Week 16,2026,16,2026-04-10T09:00:00.000Z,2026-04-13T08:00:00.000Z,2026-04-13T08:05:00.000Z,locked
2026-W17,2026 · Week 17,2026,17,2026-04-17T09:00:00.000Z,2026-04-20T08:00:00.000Z,2026-04-20T08:05:00.000Z,locked
2026-W18,2026 · Week 18,2026,18,2026-04-24T09:00:00.000Z,2026-04-27T08:00:00.000Z,2026-04-27T08:05:00.000Z,locked
2026-W19,2026 · Week 19,2026,19,2026-05-01T09:00:00.000Z,2026-05-04T08:00:00.000Z,2026-05-04T08:05:00.000Z,locked
2026-W20,2026 · Week 20,2026,20,2026-05-08T09:00:00.000Z,2026-05-11T08:00:00.000Z,2026-05-11T08:05:00.000Z,locked
2026-W21,2026 · Week 21,2026,21,2026-05-15T09:00:00.000Z,2026-05-18T08:00:00.000Z,2026-05-18T08:05:00.000Z,locked
2026-W22,2026 · Week 22,2026,22,2026-05-22T09:00:00.000Z,2026-05-25T08:00:00.000Z,2026-05-25T08:05:00.000Z,locked
2026-W23,2026 · Week 23,2026,23,2026-05-29T09:00:00.000Z,2026-06-01T08:00:00.000Z,2026-06-01T08:05:00.000Z,locked
2026-W24,2026 · Week 24,2026,24,2026-06-05T09:00:00.000Z,2026-06-08T08:00:00.000Z,2026-06-08T08:05:00.000Z,locked
2026-W25,2026 · Week 25,2026,25,2026-06-12T09:00:00.000Z,2026-06-15T08:00:00.000Z,2026-06-15T08:05:00.000Z,locked
2026-W26,2026 · Week 26,2026,26,2026-06-19T09:00:00.000Z,2026-06-22T08:00:00.000Z,2026-06-22T08:05:00.000Z,locked
2026-W27,2026 · Week 27,2026,27,2026-06-26T09:00:00.000Z,2026-06-29T08:00:00.000Z,2026-06-29T08:05:00.000Z,locked
2026-W28,2026 · Week 28,2026,28,2026-07-03T09:00:00.000Z,2026-07-06T08:00:00.000Z,2026-07-06T08:05:00.000Z,locked
2026-W29,2026 · Week 29,2026,29,2026-07-10T09:00:00.000Z,2026-07-13T08:00:00.000Z,2026-07-13T08:05:00.000Z,locked
2026-W30,2026 · Week 30,2026,30,2026-07-17T09:00:00.000Z,2026-07-20T08:00:00.000Z,2026-07-20T08:05:00.000Z,locked
2026-W31,2026 · Week 31,2026,31,2026-07-24T09:00:00.000Z,2026-07-27T08:00:00.000Z,2026-07-27T08:05:00.000Z,locked
2026-W32,2026 · Week 32,2026,32,2026-07-31T09:00:00.000Z,2026-08-03T08:00:00.000Z,2026-08-03T08:05:00.000Z,locked
2026-W33,2026 · Week 33,2026,33,2026-08-07T09:00:00.000Z,2026-08-10T08:00:00.000Z,2026-08-10T08:05:00.000Z,locked
2026-W34,2026 · Week 34,2026,34,2026-08-14T09:00:00.000Z,2026-08-17T08:00:00.000Z,2026-08-17T08:05:00.000Z,locked
2026-W35,2026 · Week 35,2026,35,2026-08-21T09:00:00.000Z,2026-08-24T08:00:00.000Z,,open
