ticker,snapshot_date,earnings_date,eps_estimate,eps_actual,eps_surprise_pct,revenue_estimate,revenue_actual,revenue_surprise_pct,guidance_direction,earnings_sentiment,management_confidence
AAPL,2025-11-24,2025-10-15,7.006000,6.799000,-0.024500,97750000000,97153725000,-0.006100,down,0.644000,0.485000
MSFT,2025-11-24,2025-10-08,11.913000,13.183000,0.062300,63500000000,65455800000,0.030800,up,0.675000,0.709000
NVDA,2025-11-24,2025-10-15,2.869000,2.791000,-0.050700,32625000000,31766962500,-0.026300,down,0.240000,0.310000
META,2025-11-24,2025-10-08,21.793000,21.630000,-0.018600,41125000000,40771325000,-0.008600,flat,0.351000,0.391000
GOOGL,2025-11-24,2025-08-27,7.938000,8.485000,0.055300,87500000000,89407500000,0.021800,up,0.705000,0.673000
AMZN,2025-11-24,2025-10-15,5.143000,4.728000,-0.080100,159500000000,150089500000,-0.059000,down,0.121000,0.188000
TSLA,2025-11-24,2025-08-27,2.129000,1.902000,-0.067700,24425000000,23467540000,-0.039200,down,0.292000,0.387000
JPM,2025-11-24,2025-09-17,19.413000,19.675000,-0.003800,44400000000,45070440000,0.015100,flat,0.455000,0.397000
V,2025-11-24,2025-09-10,9.991000,9.633000,-0.010000,9000000000,8891100000,-0.012100,flat,0.395000,0.534000
NFLX,2025-11-24,2025-10-15,19.210000,20.139000,0.015600,9750000000,9810450000,0.006200,flat,0.510000,0.446000
AAPL,2025-12-01,2025-10-15,7.118000,7.167000,0.028200,97856209135,98433560769,0.005900,flat,0.512000,0.513000
MSFT,2025-12-01,2025-10-08,12.892000,11.744000,-0.053700,63674502885,62458319880,-0.019100,down,0.294000,0.517000
NVDA,2025-12-01,2025-10-15,2.882000,2.914000,-0.008800,33094486298,33739828781,0.019500,flat,0.425000,0.433000
META,2025-12-01,2025-10-08,21.755000,23.294000,0.056900,41288076442,42650582965,0.033000,up,0.591000,0.667000
GOOGL,2025-12-01,2025-11-26,8.315000,7.781000,-0.032200,87711850962,87966215329,0.002900,down,0.275000,0.525000
AMZN,2025-12-01,2025-10-15,5.264000,5.039000,-0.019700,159806424038,159470830548,-0.002100,flat,0.373000,0.357000
TSLA,2025-12-01,2025-11-26,2.067000,1.851000,-0.092500,24429180433,23415369445,-0.041500,down,0.171000,0.036000
JPM,2025-12-01,2025-09-17,19.207000,20.467000,0.036300,44497765385,45467816670,0.021800,flat,0.639000,0.643000
V,2025-12-01,2025-09-10,9.372000,9.950000,0.022600,9018259615,8982186577,-0.004000,flat,0.606000,0.729000
NFLX,2025-12-01,2025-10-15,20.047000,21.948000,0.106800,9777375000,10276021125,0.051000,up,0.862000,0.849000
AAPL,2025-12-08,2025-10-15,6.979000,7.996000,0.147200,97960914423,105660642297,0.078600,up,1,0.813000
MSFT,2025-12-08,2025-10-08,12.317000,11.771000,-0.051500,63844365385,62043954281,-0.028200,down,0.279000,0.521000
NVDA,2025-12-08,2025-10-15,2.888000,3.104000,0.055900,33557824038,34890069653,0.039700,up,0.719000,0.607000
META,2025-12-08,2025-10-08,21.741000,24.165000,0.096400,41455107212,43299859482,0.044500,up,0.871000,0.699000
GOOGL,2025-12-08,2025-11-26,7.830000,8.029000,-0.001400,87926730769,86713341885,-0.013800,flat,0.522000,0.583000
AMZN,2025-12-08,2025-10-15,5.040000,5.234000,0.018200,160118369231,163288712942,0.019800,flat,0.586000,0.778000
TSLA,2025-12-08,2025-11-26,2.075000,2.114000,0.036500,24432985096,24843459246,0.016800,flat,0.561000,0.712000
JPM,2025-12-08,2025-09-17,19.587000,17.911000,-0.093100,44594506154,42627888432,-0.044100,down,0.147000,0.214000
V,2025-12-08,2025-09-10,9.419000,9.876000,0.015000,9038423077,9107115092,0.007600,flat,0.582000,0.656000
NFLX,2025-12-08,2025-10-15,20.262000,20.754000,0.046600,9806812500,9977451038,0.017400,up,0.633000,0.628000
AAPL,2025-12-15,2025-10-15,6.876000,7.189000,0.031400,98079906250,98482033866,0.004100,flat,0.617000,0.488000
MSFT,2025-12-15,2025-10-08,12.073000,13.936000,0.123000,64036697115,68199082428,0.065000,up,1,0.788000
NVDA,2025-12-15,2025-10-15,2.881000,3.033000,0.031800,33986215385,34400847212,0.012200,flat,0.674000,0.678000
META,2025-12-15,2025-10-08,22.036000,19.915000,-0.096400,41598807452,39814218612,-0.042900,down,0.151000,0.163000
GOOGL,2025-12-15,2025-11-26,7.897000,8.202000,0.020100,88158269231,88361033250,0.002300,flat,0.643000,0.709000
AMZN,2025-12-15,2025-10-15,5.114000,5.181000,0.008000,160449638462,157914534174,-0.015800,flat,0.603000,0.652000
TSLA,2025-12-15,2025-11-26,1.998000,2.232000,0.093900,24437400385,25402677700,0.039500,up,1,0.771000
JPM,2025-12-15,2025-09-17,19.746000,19.677000,-0.003700,44681769231,44802410008,0.002700,flat,0.399000,0.487000
V,2025-12-15,2025-12-10,9.952000,9.762000,0.003300,9055765385,8887328148,-0.018600,flat,0.648000,0.513000
NFLX,2025-12-15,2025-10-15,20.413000,19.059000,-0.038900,9827850000,9761020620,-0.006800,down,0.384000,0.446000
AAPL,2025-12-22,2025-10-15,7.115000,7.729000,0.108900,98192130769,104869195662,0.068000,up,0.902000,0.883000
MSFT,2025-12-22,2025-10-08,12.285000,12.477000,0.005400,64180915385,64610927518,0.006700,flat,0.466000,0.555000
NVDA,2025-12-22,2025-10-15,2.889000,2.961000,0.007100,34428911538,34136265790,-0.008500,flat,0.583000,0.405000
META,2025-12-22,2025-10-08,21,23.153000,0.050500,41736497115,43898447666,0.051800,up,0.632000,0.778000
GOOGL,2025-12-22,2025-11-26,8.361000,8.136000,0.011900,88362211538,88680315500,0.003600,flat,0.479000,0.488000
AMZN,2025-12-22,2025-10-15,5.238000,4.730000,-0.079700,160670484615,155512962059,-0.032100,down,0.055000,0.242000
TSLA,2025-12-22,2025-11-26,2.061000,2.015000,-0.012300,24440594423,24081317685,-0.014700,flat,0.392000,0.490000
JPM,2025-12-22,2025-12-17,20.032000,19.371000,-0.019200,44778083077,43752664974,-0.022900,flat,0.452000,0.518000
V,2025-12-22,2025-12-10,10.007000,9.663000,-0.006900,9075046154,9031485932,-0.004800,flat,0.457000,0.323000
NFLX,2025-12-22,2025-10-15,19.603000,20.294000,0.023400,9866325000,10047865380,0.018400,flat,0.600000,0.480000
AAPL,2025-12-29,2025-10-15,6.841000,6.725000,-0.035100,98276346154,98276346154,0,down,0.465000,0.477000
MSFT,2025-12-29,2025-10-08,12.544000,14.281000,0.150800,64374956731,70207327811,0.090600,up,1,0.863000
NVDA,2025-12-29,2025-10-15,3,2.954000,0.004700,34844754808,34552058867,-0.008400,flat,0.700000,0.444000
META,2025-12-29,2025-10-08,21.963000,22.401000,0.016400,41939986779,41700928854,-0.005700,flat,0.592000,0.560000
GOOGL,2025-12-29,2025-11-26,7.984000,7.550000,-0.061000,88608052885,86880195853,-0.019500,down,0.336000,0.259000
AMZN,2025-12-29,2025-10-15,5.143000,5.360000,0.042800,161056658654,166532585048,0.034000,flat,0.772000,0.653000
TSLA,2025-12-29,2025-11-26,2.019000,2.269000,0.112200,24445197596,25581899284,0.046500,up,0.903000,0.800000
JPM,2025-12-29,2025-12-17,19.921000,19.248000,-0.025400,44836315385,44639035597,-0.004400,down,0.343000,0.440000
V,2025-12-29,2025-12-10,9.562000,10.427000,0.071600,9096923077,9432599538,0.036900,up,0.771000,0.747000
NFLX,2025-12-29,2025-10-15,20.454000,19.523000,-0.015500,9885843750,9724704497,-0.016300,flat,0.507000,0.514000
AAPL,2026-01-05,2025-10-15,7.036000,6.251000,-0.103200,98372592308,94427851356,-0.040100,down,0.084000,0.158000
MSFT,2026-01-05,2025-10-08,12.296000,13.217000,0.065000,64500125000,66854379562,0.036500,up,0.725000,0.558000
NVDA,2026-01-05,2025-10-15,3.019000,2.578000,-0.123200,35461116346,33514301059,-0.054900,down,0.103000,0.231000
META,2026-01-05,2025-10-08,21.836000,23.329000,0.058500,42131455288,42443228058,0.007400,up,0.894000,0.628000
GOOGL,2026-01-05,2025-11-26,8.190000,8.273000,0.029000,88766057692,90212944433,0.016300,flat,0.707000,0.486000
AMZN,2026-01-05,2025-10-15,4.998000,5.237000,0.018900,161463690385,164160134014,0.016700,flat,0.497000,0.514000
TSLA,2026-01-05,2025-11-26,2.014000,2.221000,0.088900,24448673462,25986495022,0.062900,up,0.839000,0.693000
JPM,2026-01-05,2025-12-17,19.275000,21.081000,0.067400,44948681538,46894959449,0.043300,up,0.693000,0.659000
V,2026-01-05,2025-12-10,9.550000,10.906000,0.120900,9114126923,9753938633,0.070200,up,0.852000,0.844000
NFLX,2026-01-05,2025-10-15,19.788000,21.982000,0.108500,9907275000,10314464003,0.041100,up,0.931000,0.783000
AAPL,2026-01-12,2025-10-15,6.981000,6.704000,-0.038100,98489516346,97130361021,-0.013800,down,0.506000,0.470000
