ticker,snapshot_date,pe_ratio,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_ebitda,ev_sales,fcf_yield,earnings_yield,revenue,revenue_growth_yoy,ebitda,ebitda_growth_yoy,eps,eps_growth_yoy,fcf,fcf_growth_yoy,gross_margin,operating_margin,net_margin,roe,roa,roic,cash,total_debt,net_debt,debt_to_equity,net_debt_ebitda,current_ratio,quick_ratio,interest_coverage
AAPL,2025-11-24,34.060000,31.600000,4.010000,8.550000,48.350000,24.430000,9.440000,0.029530,0.029590,391000000000,0.057800,131767000000,0.063500,6.970000,0.075000,103224000000,0.059000,0.456900,0.309800,0.231000,1.562900,0.252700,0.575600,70380000000,679626000000,609246000000,1.758500,4.624000,0.837000,0.695000,6.450000
MSFT,2025-11-24,35.890000,28,1.400000,11.950000,12.020000,22.420000,13.780000,0.021100,0.028250,254000000000,0.138300,135890000000,0.161000,12.410000,0.211900,64262000000,0.143400,0.685300,0.435300,0.350800,0.343100,0.179900,0.275000,45720000000,140166000000,94446000000,0.319200,0.695000,1.325000,1.061000,34.090000
NVDA,2025-11-24,54.630000,34.230000,0.340000,27.550000,49.520000,44.090000,30.160000,0.017650,0.018450,130500000000,0.738400,82737000000,0.826100,2.940000,0.986300,60291000000,0.784800,0.737900,0.605400,0.536100,0.882300,0.640100,0.760500,23490000000,62568000000,39078000000,0.125300,0.472000,4.043000,3.414000,88.840000
META,2025-11-24,27.300000,22.260000,0.880000,9.440000,7.940000,17.340000,9.430000,0.035730,0.036630,164500000000,0.202000,87349500000,0.238200,22.040000,0.266900,53298000000,0.208400,0.797200,0.412300,0.368000,0.360300,0.226900,0.300200,29610000000,66546000000,36936000000,0.259800,0.423000,2.920000,2.400000,41.130000
GOOGL,2025-11-24,23.870000,22.560000,1.430000,6.690000,7.490000,17.430000,6.750000,0.032290,0.040650,350000000000,0.136700,142800000000,0.149300,8.040000,0.148600,72450000000,0.126400,0.566500,0.313300,0.278400,0.292800,0.204700,0.254300,63000000000,81711000000,18711000000,0.089200,0.131000,1.761000,1.468000,122.700000
AMZN,2025-11-24,43.910000,33.100000,2.580000,3.610000,7.470000,18.890000,3.920000,0.015750,0.023420,638000000000,0.100600,104632000000,0.118200,5.140000,0.125600,37004000000,0.116200,0.486200,0.105700,0.088300,0.206900,0.084000,0.138200,114840000000,226134000000,111294000000,0.531400,1.064000,1.021000,0.847000,20.060000
TSLA,2025-11-24,124.190000,93.090000,85.280000,13.040000,17.510000,64.990000,13.280000,0.002910,0.008450,97700000000,0.008400,13189500000,0.009800,2.040000,0.010800,3614900000,0.009700,0.175600,0.071300,0.071500,0.100000,0.059700,0.079000,17586000000,38484000000,20898000000,0.172100,1.584000,1.961000,1.583000,55.850000
JPM,2025-11-24,13.280000,13.140000,0.840000,3.790000,2.150000,11.700000,4.090000,0.045690,0.078130,177600000000,0.114600,71395200000,0.135400,19.750000,0.164600,32678400000,0.129400,0.615600,0.415800,0.325700,0.172000,0.014200,0.111100,31968000000,112989600000,81021600000,1.299200,1.135000,1.121000,0.926000,9.760000
V,2025-11-24,30.580000,27.590000,1.610000,14.840000,15.860000,20,18.080000,0.030880,0.032890,36000000000,0.108500,25272000000,0.138000,9.730000,0.166300,18432000000,0.142300,0.800300,0.674000,0.561200,0.516600,0.212100,0.429600,6480000000,34570800000,28090800000,0.523900,1.112000,1.308000,1.082000,25.990000
NFLX,2025-11-24,41.170000,35.060000,1.820000,9.580000,16.110000,29.500000,10.360000,0.018330,0.022620,39000000000,0.148000,11076000000,0.172600,19.830000,0.190500,6786000000,0.137200,0.457200,0.260600,0.215200,0.348700,0.137100,0.232600,7020000000,32032800000,25012800000,0.705400,2.258000,1.197000,0.962000,15.970000
