snapshot_date,ticker,sp500_return_1m,nasdaq_return_1m,sector_return_1m,interest_rate,inflation,market_regime
2025-11-28,AAPL,0.036700,0.017800,-0.042800,3.740000,2.990000,neutral
2025-11-28,MSFT,0.052800,-0.015700,0.044800,3.740000,2.990000,neutral
2025-11-28,NVDA,0.026200,0.008300,0.061300,3.740000,2.990000,risk-off
2025-11-28,META,0.035100,0.000500,0.031000,3.740000,2.990000,neutral
2025-11-28,GOOGL,-0.018200,0.029200,0.001100,3.740000,2.990000,neutral
2025-11-28,AMZN,0.051600,-0.000800,-0.018100,3.740000,2.990000,neutral
2025-11-28,TSLA,-0.007800,0.025000,0.058900,3.740000,2.990000,risk-off
2025-11-28,JPM,-0.024900,0.011900,0.063600,3.740000,2.990000,risk-on
2025-11-28,V,0.033300,0.071300,0.010300,3.740000,2.990000,risk-on
2025-11-28,NFLX,0.010500,-0.020400,0.025500,3.740000,2.990000,neutral
2025-12-05,AAPL,0.016000,-0.056400,-0.015700,3.770000,3.050000,neutral
2025-12-05,MSFT,-0.001300,0.064600,-0.006300,3.770000,3.050000,neutral
2025-12-05,NVDA,0.028700,-0.027200,0.084600,3.770000,3.050000,risk-off
2025-12-05,META,0.056300,-0.053800,0.012700,3.770000,3.050000,neutral
2025-12-05,GOOGL,0.026900,0.019600,-0.014300,3.770000,3.050000,neutral
2025-12-05,AMZN,-0.002700,0.003800,0.021300,3.770000,3.050000,neutral
2025-12-05,TSLA,0.033700,0.020100,0.052600,3.770000,3.050000,risk-off
2025-12-05,JPM,0.030900,0.090000,0.040200,3.770000,3.050000,neutral
2025-12-05,V,0.037200,-0.043300,-0.055000,3.770000,3.050000,risk-on
2025-12-05,NFLX,0.032500,-0.004100,0.007200,3.770000,3.050000,neutral
2025-12-12,AAPL,0.019900,0.042400,-0.038400,3.890000,3.080000,neutral
2025-12-12,MSFT,-0.031500,0.013600,-0.052300,3.890000,3.080000,neutral
2025-12-12,NVDA,-0.003300,0.051000,-0.015500,3.890000,3.080000,risk-off
2025-12-12,META,-0.043400,0.002200,0.040700,3.890000,3.080000,neutral
2025-12-12,GOOGL,0.050700,-0.031600,-0.004800,3.890000,3.080000,neutral
2025-12-12,AMZN,0.038300,0.049800,0.020600,3.890000,3.080000,neutral
2025-12-12,TSLA,-0.052700,0.088800,0.017700,3.890000,3.080000,risk-off
2025-12-12,JPM,0.086200,-0.060200,-0.011600,3.890000,3.080000,neutral
2025-12-12,V,-0.044300,0.012200,0.011100,3.890000,3.080000,risk-on
2025-12-12,NFLX,0.016700,0.025700,-0.000100,3.890000,3.080000,neutral
2025-12-19,AAPL,0.036200,0.047200,-0.036100,3.900000,3.090000,neutral
2025-12-19,MSFT,-0.011100,-0.041900,-0.018500,3.900000,3.090000,neutral
2025-12-19,NVDA,0.045400,0.001300,-0.011600,3.900000,3.090000,risk-off
2025-12-19,META,0.033900,-0.009300,0.013100,3.900000,3.090000,neutral
2025-12-19,GOOGL,-0.042100,-0.119600,0.013700,3.900000,3.090000,neutral
2025-12-19,AMZN,0.068500,-0.017700,-0.005800,3.900000,3.090000,neutral
2025-12-19,TSLA,0.019200,0.019700,-0.040200,3.900000,3.090000,risk-off
2025-12-19,JPM,-0.001300,0.040800,-0.028100,3.900000,3.090000,neutral
2025-12-19,V,0.065900,0.089300,0.022200,3.900000,3.090000,risk-on
2025-12-19,NFLX,-0.007700,-0.039000,0.025600,3.900000,3.090000,neutral
2025-12-26,AAPL,-0.029700,0.036300,0.030100,4.060000,3.110000,neutral
2025-12-26,MSFT,0.005800,-0.032400,0.012400,4.060000,3.110000,neutral
2025-12-26,NVDA,-0.005800,0.040100,0.028600,4.060000,3.110000,risk-off
2025-12-26,META,0.033200,-0.034900,0.035900,4.060000,3.110000,neutral
2025-12-26,GOOGL,-0.001500,-0.007300,0.089000,4.060000,3.110000,neutral
2025-12-26,AMZN,-0.039500,0.012100,-0.043300,4.060000,3.110000,neutral
2025-12-26,TSLA,-0.018800,0.052000,0.047800,4.060000,3.110000,risk-off
2025-12-26,JPM,0.034700,0.037600,0.013200,4.060000,3.110000,neutral
2025-12-26,V,0.001200,0.081200,-0.001300,4.060000,3.110000,risk-on
2025-12-26,NFLX,0.053200,-0.013700,0.092200,4.060000,3.110000,neutral
2026-01-02,AAPL,0.032400,-0.031000,0.084100,4.070000,3.030000,neutral
2026-01-02,MSFT,0.017300,0.065400,-0.013400,4.070000,3.030000,neutral
2026-01-02,NVDA,-0.008400,-0.070700,-0.037700,4.070000,3.030000,risk-off
2026-01-02,META,-0.001100,-0.009200,0.056600,4.070000,3.030000,neutral
2026-01-02,GOOGL,0.050600,0.008800,0.002700,4.070000,3.030000,neutral
2026-01-02,AMZN,0.018500,0.056100,0.081900,4.070000,3.030000,neutral
2026-01-02,TSLA,0.032900,0.030500,0.064700,4.070000,3.030000,risk-off
2026-01-02,JPM,-0.049900,0.008700,0.054000,4.070000,3.030000,neutral
2026-01-02,V,0.023300,-0.012400,0.015000,4.070000,3.030000,risk-on
2026-01-02,NFLX,0.015000,-0.043000,-0.000300,4.070000,3.030000,neutral
2026-01-09,AAPL,-0.012600,-0.046100,0,4.070000,3.060000,neutral
2026-01-09,MSFT,0.007200,-0.084100,0.011100,4.070000,3.060000,neutral
2026-01-09,NVDA,0.000400,0.052800,0.030400,4.070000,3.060000,risk-off
2026-01-09,META,0.064100,0.091400,-0.040000,4.070000,3.060000,risk-off
2026-01-09,GOOGL,0.019200,-0.020800,0.011700,4.070000,3.060000,risk-off
2026-01-09,AMZN,0.063600,-0.073500,0.060400,4.070000,3.060000,neutral
2026-01-09,TSLA,0.043700,0.113900,-0.035300,4.070000,3.060000,risk-off
2026-01-09,JPM,-0.058100,-0.003900,0.072000,4.070000,3.060000,neutral
2026-01-09,V,-0.015000,-0.013100,0.036200,4.070000,3.060000,risk-on
2026-01-09,NFLX,0.031200,-0.058300,0.054200,4.070000,3.060000,neutral
2026-01-16,AAPL,0.029400,0.005900,0.044600,4.130000,3.060000,neutral
2026-01-16,MSFT,0.038600,-0.012800,0.006100,4.130000,3.060000,neutral
2026-01-16,NVDA,0.009000,-0.038800,0.024600,4.130000,3.060000,risk-off
2026-01-16,META,-0.013500,-0.020200,0.027100,4.130000,3.060000,risk-off
2026-01-16,GOOGL,-0.042900,0.042100,0.007500,4.130000,3.060000,neutral
2026-01-16,AMZN,0.008700,0.111100,0.054000,4.130000,3.060000,neutral
2026-01-16,TSLA,0.039000,0.088400,0.057900,4.130000,3.060000,risk-off
2026-01-16,JPM,-0.048600,0.062900,-0.021700,4.130000,3.060000,neutral
2026-01-16,V,0.006600,0.025500,-0.002700,4.130000,3.060000,risk-on
2026-01-16,NFLX,0.031900,0.000200,0.050900,4.130000,3.060000,risk-off
2026-01-23,AAPL,0.045200,0.015500,0.055100,4.140000,3,neutral
2026-01-23,MSFT,-0.006400,-0.034900,0.005600,4.140000,3,neutral
2026-01-23,NVDA,0.006700,-0.012300,-0.055300,4.140000,3,risk-off
2026-01-23,META,-0.038500,0.004600,-0.015700,4.140000,3,risk-off
2026-01-23,GOOGL,0.009300,0.090700,0.045200,4.140000,3,neutral
2026-01-23,AMZN,0.030400,0.015300,-0.007000,4.140000,3,neutral
2026-01-23,TSLA,0.002600,-0.014900,0.126300,4.140000,3,risk-off
2026-01-23,JPM,0.033800,-0.028600,0.067400,4.140000,3,neutral
2026-01-23,V,-0.049300,0.088500,-0.030300,4.140000,3,risk-on
2026-01-23,NFLX,0.005200,0.019600,0.044000,4.140000,3,risk-off
2026-01-30,AAPL,0.055400,-0.000700,0.055600,4.230000,3.010000,neutral
2026-01-30,MSFT,0.030400,0.036900,0.003100,4.230000,3.010000,neutral
2026-01-30,NVDA,-0.002400,0.087200,-0.002800,4.230000,3.010000,risk-off
2026-01-30,META,-0.000500,0.022500,0.029300,4.230000,3.010000,risk-off
2026-01-30,GOOGL,-0.001100,0.043800,0.008100,4.230000,3.010000,neutral
2026-01-30,AMZN,-0.007200,-0.010400,-0.018000,4.230000,3.010000,neutral
2026-01-30,TSLA,0.021300,0.008100,-0.022600,4.230000,3.010000,risk-off
2026-01-30,JPM,0.013300,0.008500,-0.019200,4.230000,3.010000,neutral
2026-01-30,V,0.033600,-0.009900,0.033700,4.230000,3.010000,risk-on
2026-01-30,NFLX,-0.002600,0.014500,0.070800,4.230000,3.010000,neutral
2026-02-06,AAPL,-0.038000,-0.047000,0.068800,4.310000,2.970000,neutral
2026-02-06,MSFT,0.039900,-0.005000,0.083700,4.310000,2.970000,neutral
2026-02-06,NVDA,-0.024300,-0.025800,0.006500,4.310000,2.970000,risk-off
2026-02-06,META,-0.033100,-0.046900,0.047400,4.310000,2.970000,risk-off
2026-02-06,GOOGL,-0.028900,-0.022400,0.007700,4.310000,2.970000,neutral
2026-02-06,AMZN,0.010900,0.021900,0.003900,4.310000,2.970000,neutral
2026-02-06,TSLA,0.001600,0.055300,0.023200,4.310000,2.970000,risk-off
2026-02-06,JPM,-0.037500,0.091700,0.061000,4.310000,2.970000,neutral
2026-02-06,V,0.026700,0.026500,0.016400,4.310000,2.970000,risk-on
2026-02-06,NFLX,-0.012400,0.024800,0.039500,4.310000,2.970000,risk-off
2026-02-13,AAPL,0.000800,0.039400,-0.064300,4.320000,2.920000,risk-on
2026-02-13,MSFT,0.052900,-0.040100,-0.034200,4.320000,2.920000,risk-on
2026-02-13,NVDA,0.023700,0.055500,0.030300,4.320000,2.920000,neutral
2026-02-13,META,0.032100,0.015700,-0.050500,4.320000,2.920000,risk-off
2026-02-13,GOOGL,-0.019900,-0.002800,-0.066300,4.320000,2.920000,neutral
2026-02-13,AMZN,0.036500,0.029900,0.042900,4.320000,2.920000,neutral
2026-02-13,TSLA,-0.000500,0.024000,0.000100,4.320000,2.920000,risk-off
2026-02-13,JPM,0.000100,0.001600,-0.001600,4.320000,2.920000,risk-on
2026-02-13,V,0.024300,-0.005500,0.017900,4.320000,2.920000,risk-on
2026-02-13,NFLX,-0.026700,0.005200,-0.014800,4.320000,2.920000,neutral
2026-02-20,AAPL,0.020300,0.046800,0.053800,4.230000,2.940000,neutral
2026-02-20,MSFT,0.022000,0.030400,0.060800,4.230000,2.940000,risk-on
2026-02-20,NVDA,0.001800,-0.054200,0.039000,4.230000,2.940000,risk-off
2026-02-20,META,0.043900,-0.003000,-0.000700,4.230000,2.940000,risk-off
2026-02-20,GOOGL,-0.012700,0.058000,0.072400,4.230000,2.940000,neutral
2026-02-20,AMZN,-0.020400,0.030000,-0.018600,4.230000,2.940000,neutral
2026-02-20,TSLA,0.022400,0.052100,-0.001400,4.230000,2.940000,risk-off
2026-02-20,JPM,0.041500,-0.014600,-0.056300,4.230000,2.940000,neutral
2026-02-20,V,-0.036000,0.051600,-0.004800,4.230000,2.940000,risk-on
2026-02-20,NFLX,-0.009800,0.026200,0.047600,4.230000,2.940000,neutral
2026-02-27,AAPL,0.044100,0.059100,-0.045800,4.330000,2.870000,neutral
2026-02-27,MSFT,-0.006500,0.064900,-0.010000,4.330000,2.870000,risk-on
2026-02-27,NVDA,0.017500,-0.015800,0.003600,4.330000,2.870000,risk-off
2026-02-27,META,-0.007200,-0.020600,0.046400,4.330000,2.870000,risk-off
2026-02-27,GOOGL,0.062300,0.023500,0.007700,4.330000,2.870000,neutral
2026-02-27,AMZN,0.046000,0.052500,-0.074000,4.330000,2.870000,neutral
2026-02-27,TSLA,-0.000600,-0.014300,-0.005100,4.330000,2.870000,risk-off
2026-02-27,JPM,0.054300,-0.000300,0.001500,4.330000,2.870000,neutral
2026-02-27,V,0.026500,-0.083000,0.001700,4.330000,2.870000,risk-on
2026-02-27,NFLX,0.005000,0.011800,0.011200,4.330000,2.870000,neutral
2026-03-06,AAPL,-0.005700,0.010700,-0.002700,4.250000,2.700000,neutral
2026-03-06,MSFT,0.027800,-0.033300,0.031900,4.250000,2.700000,risk-on
2026-03-06,NVDA,-0.001000,0.017300,0.045200,4.250000,2.700000,risk-off
2026-03-06,META,0.023500,0.037200,-0.029800,4.250000,2.700000,risk-off
2026-03-06,GOOGL,-0.094200,-0.042300,0.000500,4.250000,2.700000,neutral
2026-03-06,AMZN,-0.010400,-0.008400,-0.099500,4.250000,2.700000,neutral
2026-03-06,TSLA,0.036700,0.023800,-0.001500,4.250000,2.700000,risk-off
2026-03-06,JPM,0.048200,0.012400,-0.037700,4.250000,2.700000,neutral
2026-03-06,V,-0.007200,0.032100,-0.048400,4.250000,2.700000,risk-on
2026-03-06,NFLX,0.054500,-0.042900,0.101500,4.250000,2.700000,neutral
2026-03-13,AAPL,0.048300,-0.000600,0.012000,4.460000,2.810000,neutral
2026-03-13,MSFT,0.012700,0.035600,0.015700,4.460000,2.810000,neutral
2026-03-13,NVDA,-0.023200,0.029500,-0.041300,4.460000,2.810000,risk-off
2026-03-13,META,0.013900,-0.025700,0.013000,4.460000,2.810000,risk-off
2026-03-13,GOOGL,-0.010500,0.005100,0.003200,4.460000,2.810000,neutral
2026-03-13,AMZN,0.006500,0.017000,0.030400,4.460000,2.810000,neutral
2026-03-13,TSLA,0.013000,0.042000,0.018900,4.460000,2.810000,risk-off
2026-03-13,JPM,0.018000,-0.031400,-0.007100,4.460000,2.810000,neutral
2026-03-13,V,0.006900,0.001400,0.009900,4.460000,2.810000,risk-on
2026-03-13,NFLX,0.017900,0.083600,0.021900,4.460000,2.810000,neutral
2026-03-20,AAPL,-0.024400,-0.006700,-0.015100,4.360000,2.680000,neutral
2026-03-20,MSFT,-0.010900,0.066200,-0.010200,4.360000,2.680000,neutral
2026-03-20,NVDA,0.024200,-0.014200,0.037100,4.360000,2.680000,risk-off
2026-03-20,META,-0.021900,-0.044300,0.049900,4.360000,2.680000,risk-off
2026-03-20,GOOGL,-0.014900,0.068300,0.125500,4.360000,2.680000,neutral
2026-03-20,AMZN,0.011800,-0.011000,0.057500,4.360000,2.680000,neutral
2026-03-20,TSLA,-0.009500,-0.024400,0.002700,4.360000,2.680000,risk-off
2026-03-20,JPM,-0.014000,0.019400,0.029700,4.360000,2.680000,neutral
2026-03-20,V,0.033400,0.049900,0.076000,4.360000,2.680000,risk-on
2026-03-20,NFLX,-0.008300,0.068300,0.020800,4.360000,2.680000,neutral
2026-03-27,AAPL,0.003800,0.004300,-0.043500,4.380000,2.600000,neutral
2026-03-27,MSFT,0.037900,0.003300,-0.056200,4.380000,2.600000,neutral
2026-03-27,NVDA,-0.009200,0.011400,-0.010300,4.380000,2.600000,risk-off
2026-03-27,META,-0.002100,0.036200,0.030000,4.380000,2.600000,neutral
2026-03-27,GOOGL,0.003900,-0.027100,-0.033800,4.380000,2.600000,neutral
2026-03-27,AMZN,-0.005000,0.029400,0.080800,4.380000,2.600000,risk-on
2026-03-27,TSLA,-0.004800,-0.040000,0.028500,4.380000,2.600000,risk-off
2026-03-27,JPM,0.023200,0.009500,-0.000900,4.380000,2.600000,risk-on
2026-03-27,V,0.029500,-0.023600,-0.052700,4.380000,2.600000,risk-on
2026-03-27,NFLX,0.008100,0.024700,0.048800,4.380000,2.600000,neutral
2026-04-02,AAPL,0.012200,-0.003500,-0.031400,4.280000,2.600000,neutral
2026-04-02,MSFT,-0.017100,0.004100,-0.019000,4.280000,2.600000,neutral
2026-04-02,NVDA,-0.006900,-0.035400,0.023900,4.280000,2.600000,risk-off
2026-04-02,META,0.014900,0.036100,0.034000,4.280000,2.600000,neutral
2026-04-02,GOOGL,0.032700,0.000800,0.016600,4.280000,2.600000,risk-on
2026-04-02,AMZN,0.008000,0.054100,-0.028200,4.280000,2.600000,neutral
2026-04-02,TSLA,-0.061300,-0.020100,-0.033200,4.280000,2.600000,risk-off
2026-04-02,JPM,0.029400,0.076200,0.020700,4.280000,2.600000,risk-on
2026-04-02,V,0.002500,0.025500,0.040000,4.280000,2.600000,risk-on
2026-04-02,NFLX,-0.035500,-0.067300,0.034600,4.280000,2.600000,neutral
2026-04-10,AAPL,-0.015700,0.040300,0.039600,4.330000,2.560000,neutral
2026-04-10,MSFT,0.013600,0.047500,0.021300,4.330000,2.560000,risk-on
2026-04-10,NVDA,-0.004900,-0.044300,-0.035800,4.330000,2.560000,risk-off
2026-04-10,META,-0.001500,0.017300,-0.009600,4.330000,2.560000,neutral
2026-04-10,GOOGL,0.050900,-0.030900,0.027800,4.330000,2.560000,risk-on
2026-04-10,AMZN,0.022000,0.039700,0.033200,4.330000,2.560000,risk-on
2026-04-10,TSLA,-0.024600,0.038600,-0.020400,4.330000,2.560000,risk-off
2026-04-10,JPM,0.099100,-0.028000,-0.002700,4.330000,2.560000,risk-on
2026-04-10,V,-0.042100,0.059800,0.005800,4.330000,2.560000,risk-on
2026-04-10,NFLX,-0.015700,-0.010900,0.074600,4.330000,2.560000,neutral
2026-04-17,AAPL,-0.015400,0.035100,-0.056100,4.320000,2.440000,neutral
2026-04-17,MSFT,0.044300,0.009400,-0.006100,4.320000,2.440000,neutral
2026-04-17,NVDA,0.020900,0.068600,0.019100,4.320000,2.440000,risk-off
2026-04-17,META,-0.031800,0.008300,-0.042800,4.320000,2.440000,neutral
2026-04-17,GOOGL,-0.000800,0.031700,-0.011700,4.320000,2.440000,risk-on
2026-04-17,AMZN,-0.015200,0.014500,0.087700,4.320000,2.440000,neutral
2026-04-17,TSLA,-0.058900,-0.014500,0.047400,4.320000,2.440000,risk-off
2026-04-17,JPM,-0.024100,0.007100,-0.025600,4.320000,2.440000,risk-on
2026-04-17,V,0.053900,0.020900,0.014200,4.320000,2.440000,risk-on
2026-04-17,NFLX,0.052900,0.012300,-0.020700,4.320000,2.440000,neutral
2026-04-24,AAPL,0.065700,0.007500,0.029900,4.350000,2.430000,neutral
2026-04-24,MSFT,0.044000,-0.023400,0.015100,4.350000,2.430000,neutral
2026-04-24,NVDA,0.033400,-0.005000,0.021400,4.350000,2.430000,risk-off
2026-04-24,META,0.015900,-0.026700,0.082000,4.350000,2.430000,neutral
2026-04-24,GOOGL,0.049500,0.004900,0.026900,4.350000,2.430000,risk-on
2026-04-24,AMZN,-0.022000,0.041600,0.036000,4.350000,2.430000,neutral
2026-04-24,TSLA,-0.037500,-0.008400,0.021200,4.350000,2.430000,risk-off
2026-04-24,JPM,-0.020000,0.037700,0.008000,4.350000,2.430000,risk-on
2026-04-24,V,-0.008700,0.004900,-0.010400,4.350000,2.430000,risk-on
2026-04-24,NFLX,-0.049300,0.065600,-0.015700,4.350000,2.430000,neutral
2026-05-01,AAPL,-0.026900,0.050500,0.018000,4.300000,2.350000,neutral
2026-05-01,MSFT,0.042500,0.049500,-0.066000,4.300000,2.350000,risk-on
2026-05-01,NVDA,-0.020800,-0.002300,0.082600,4.300000,2.350000,risk-off
2026-05-01,META,-0.022400,0.028900,-0.034200,4.300000,2.350000,neutral
2026-05-01,GOOGL,0.054400,0.020600,0.002800,4.300000,2.350000,risk-on
2026-05-01,AMZN,-0.001600,0.025800,-0.058000,4.300000,2.350000,neutral
2026-05-01,TSLA,-0.015200,-0.046400,0.030500,4.300000,2.350000,risk-off
2026-05-01,JPM,0.010700,-0.067000,0.085800,4.300000,2.350000,neutral
2026-05-01,V,0.006800,0.014700,0.030000,4.300000,2.350000,risk-on
2026-05-01,NFLX,-0.058200,-0.017100,0.013700,4.300000,2.350000,neutral
2026-05-08,AAPL,0.004500,0.051300,0.006200,4.270000,2.290000,neutral
2026-05-08,MSFT,0.037000,-0.020100,0.032000,4.270000,2.290000,risk-on
2026-05-08,NVDA,-0.005900,0.040900,0.037900,4.270000,2.290000,risk-off
2026-05-08,META,0.029800,-0.028300,0.019200,4.270000,2.290000,neutral
2026-05-08,GOOGL,-0.027700,0.026500,-0.000300,4.270000,2.290000,neutral
2026-05-08,AMZN,0.006200,0.086400,0.005200,4.270000,2.290000,neutral
2026-05-08,TSLA,0.025600,0.000300,0.003000,4.270000,2.290000,risk-off
2026-05-08,JPM,0.004800,0.050600,0.005000,4.270000,2.290000,neutral
2026-05-08,V,-0.034000,0.105200,0.041800,4.270000,2.290000,risk-on
2026-05-08,NFLX,0.020800,0.012700,-0.050800,4.270000,2.290000,neutral
2026-05-15,AAPL,0.063200,0.096200,0.056100,4.230000,2.180000,neutral
2026-05-15,MSFT,-0.069900,0.036200,0.040900,4.230000,2.180000,neutral
2026-05-15,NVDA,0.010200,0.016000,0.057100,4.230000,2.180000,risk-off
2026-05-15,META,0.031500,-0.004700,-0.010200,4.230000,2.180000,risk-on
2026-05-15,GOOGL,0.047200,0.039000,-0.010900,4.230000,2.180000,neutral
2026-05-15,AMZN,0.073900,0.012500,0.042700,4.230000,2.180000,neutral
2026-05-15,TSLA,-0.034500,-0.046500,-0.001700,4.230000,2.180000,risk-off
2026-05-15,JPM,0.020000,-0.028200,-0.000500,4.230000,2.180000,neutral
2026-05-15,V,0.034200,0.016400,-0.011300,4.230000,2.180000,risk-on
2026-05-15,NFLX,-0.016800,0.016900,0.032900,4.230000,2.180000,neutral
2026-05-22,AAPL,0.020400,0.026500,0.083100,4.240000,2.140000,neutral
2026-05-22,MSFT,0.000400,0.083300,0.013500,4.240000,2.140000,neutral
2026-05-22,NVDA,0.051900,0.015300,-0.001900,4.240000,2.140000,neutral
2026-05-22,META,0.043400,0.007700,0.054600,4.240000,2.140000,neutral
2026-05-22,GOOGL,0.018600,0.000300,0.045700,4.240000,2.140000,neutral
2026-05-22,AMZN,0.005000,-0.038200,0.034700,4.240000,2.140000,neutral
2026-05-22,TSLA,-0.040000,0.072000,0.064500,4.240000,2.140000,risk-off
2026-05-22,JPM,0.014200,0.040000,0.054900,4.240000,2.140000,neutral
2026-05-22,V,0.039200,-0.016400,-0.070800,4.240000,2.140000,risk-on
2026-05-22,NFLX,0.024000,0.030600,-0.034800,4.240000,2.140000,neutral
2026-05-29,AAPL,-0.042700,-0.054500,-0.014400,4.160000,2.140000,neutral
