ticker,snapshot_date,news_sentiment_7d,news_sentiment_30d,positive_news_count,negative_news_count,analyst_upgrades_30d,analyst_downgrades_30d,analyst_rating,target_price_consensus,target_upside,number_of_analysts
AAPL,2025-11-24,-0.556000,-0.255000,13,18,0,1,3.950000,278.610000,0.091600,30
MSFT,2025-11-24,0.157000,0.395000,11,6,2,0,4.280000,543.480000,0.061400,52
NVDA,2025-11-24,-0.155000,-0.298000,11,0,1,5,3.570000,98.530000,0.102700,26
META,2025-11-24,0.161000,-0.361000,15,2,2,4,3.710000,894.810000,0.076300,28
GOOGL,2025-11-24,-0.251000,0.104000,21,8,6,2,4.440000,340.180000,0.240100,33
AMZN,2025-11-24,-1,-0.189000,17,14,0,4,3.750000,279.220000,0.123200,30
TSLA,2025-11-24,-0.388000,0.304000,9,15,2,3,3.330000,752.820000,0.101400,39
JPM,2025-11-24,0.267000,-0.370000,12,9,4,1,3.850000,335.670000,0.220800,47
V,2025-11-24,-0.462000,-0.373000,17,5,1,2,3.730000,396.670000,0.017900,44
NFLX,2025-11-24,0.409000,-0.212000,14,8,2,1,3.650000,1717.120000,0.011100,24
AAPL,2025-12-01,0.372000,0.370000,15,10,4,1,4.480000,272.840000,0.080900,47
MSFT,2025-12-01,-0.517000,0.123000,15,3,1,4,3.900000,657.280000,0.200400,43
NVDA,2025-12-01,-0.463000,-0.450000,14,8,0,3,4.410000,114.570000,0.126300,28
META,2025-12-01,-0.007000,-0.198000,21,8,4,1,4.720000,981.430000,0.074700,27
GOOGL,2025-12-01,0.266000,-0.331000,3,8,1,3,3.350000,303.450000,0.034600,58
AMZN,2025-12-01,0.013000,0.053000,14,10,1,2,3.490000,267.270000,0.003200,32
TSLA,2025-12-01,-0.305000,-0.418000,3,11,0,4,3.650000,817.550000,0.152700,48
JPM,2025-12-01,0.007000,0.327000,12,13,2,2,3.910000,303.820000,0.110000,32
V,2025-12-01,0.178000,0.341000,23,7,5,1,4.150000,479.780000,0.183100,33
NFLX,2025-12-01,0.167000,-0.086000,25,5,4,0,4.980000,2104.770000,0.197300,42
AAPL,2025-12-08,0.712000,-0.172000,23,0,5,0,4.480000,293.490000,0.206100,32
MSFT,2025-12-08,-0.497000,-0.053000,17,10,1,3,3.180000,607.440000,0.153400,52
NVDA,2025-12-08,0.314000,-0.159000,14,2,3,3,4.340000,117.380000,0.286300,39
META,2025-12-08,0.382000,0.339000,17,9,6,0,4.730000,1010.780000,0.130300,32
GOOGL,2025-12-08,-0.561000,-0.069000,12,8,1,3,3.870000,325.850000,0.121200,45
AMZN,2025-12-08,0.137000,0.213000,9,14,1,2,4.340000,287.360000,0.109200,55
TSLA,2025-12-08,0.207000,0.017000,13,8,1,1,3.820000,906.050000,0.276000,30
JPM,2025-12-08,-0.522000,-0.490000,0,11,0,5,4.060000,315.340000,0.166000,50
V,2025-12-08,0.399000,-0.657000,24,10,2,3,3.620000,489.240000,0.171200,31
NFLX,2025-12-08,0.123000,0.040000,14,8,3,1,4.420000,1991.600000,0.189300,31
AAPL,2025-12-15,0.574000,0.057000,17,15,2,2,3.910000,297.960000,0.186600,53
MSFT,2025-12-15,0.068000,0.365000,33,10,6,0,4.130000,654.670000,0.243800,28
NVDA,2025-12-15,0.372000,-0.400000,18,13,4,1,4.360000,113.700000,0.155000,49
META,2025-12-15,-0.250000,0.161000,11,10,1,4,4.020000,965.150000,0.108000,54
GOOGL,2025-12-15,-0.068000,-0.094000,21,10,4,4,4.110000,388.270000,0.316600,51
AMZN,2025-12-15,-0.057000,-0.164000,21,6,1,2,3.630000,299.080000,0.163500,38
TSLA,2025-12-15,0.027000,0.110000,22,0,3,0,4.430000,899.700000,0.189800,47
JPM,2025-12-15,0.231000,0.193000,10,9,0,3,3.440000,303.350000,0.085800,58
V,2025-12-15,-0.003000,-0.083000,12,5,2,1,3.890000,472.570000,0.138600,26
